ulasan,label
"transaksi gofood gabisa diproses karena kartu debit sedang eror, tapi saldo masih kepotong dan proses pengembaliannya lama bahkan gak balik sama sekali saldonya. di status transaksi batal dan dana sudah direfund, tapi gaada sama sekali masuk saldo dari mutasi rekening.",1
"Agak kecewa sama aplikasi ini. Beberapa hr terakhir selalu tertunda tiap top-up saldo. Transaksi top-up berhasil, tapi saldo baru masuk 4-5 hr kemudian. Awalnya saya pikir krn masalah koneksi internet, tapi ternyata bukan. Mohon untuk ke depannya bisa di perbaiki lagi. Ini bakalan bikin masalah baru kalo top-upnya via mitra (e.g. Alf*mart, Ind*mart, atau yang sejenisnya). Pengalaman saya kemarin, struk top-upnya tercetak (artinya transaksi berhasil), tp ditunggu sampai 3 hr saldonya belum masuk.",3
"setiap detik iklan, menggangu banget deh pokoknya tolong ya kalau mau giniin iklan jangan sampai setiap detik, saya sampai hapus berulang kali, untung aja ini aplikasi berguna jadi sya masih instal dan masih bermunculan iklan setiap detik",1
"tinggal 2menit lg driver sampe di lokasi tiba-tiba dibatalin otomatis sama aplikasinya!!! tau tau udah mencari driver yg baru, dan ini kejadian gak sekali dua kali tapi sering! map jg sering di arahin ke jalan yg sulit di lewati mobil!! alhasil banyak yg batalin! komplain via chat cuma bot doang, Kita yg mo complain gak bisa ketik sendiri masalahnya, mo complain lewat email atau tlp jg gak bisa!!! aplikasi gak niat terima komplain!!!",1
"Gak usah pasang tarif tarif hemat, soalnya para driver nya gak ada yang mau ambil orderan, dengan alasan gak sesuai dengan harga, dan bahasa mereka merendahkan costumer, karena pesen yg paket hemat, trs knp di adain paket hemat, yg salah yg punya aplikasi lah, pengen kasih promo tapi para driver nya gak mau.",1
"apk lelet, suka bermasalah sendiri padahal jaringan bagus buka yg lain tetep lancar. di tingkatkn lagi dong yg pakai seluruh indonesia tapi kualitas nya makin jeblok. niat mau cepet malah makin lama",1
"ada 3 vc nempel di gomart, sekalinya dipake terindikasi adanya pelanggaran, dan otomatis pembayaran normal dan tidak ada potongan harga. seharusnya kalau hanya boleh akses 1 vc, ya hanya diberi 1, bukan 3. dan ujungnya rugi belanja di gomart, barang juga sering kosong. nyusahin. tq",1
"Ongkir mahal, pajak aplikasi gede, biaya aplikasi juga gede , jarang ada voucher gratis ongkir padahal pengguna lama, durasi pesan antar bisa ampai sejam gak bisa dicancel, giliran detik-detik terakhir berharap cancel otomatis malah nyantol driver padahal udah ada opsi lain busuk",1
"susah untuk dpt driver walaupun di map ada banyak driver yg gak jalan, sekalinya hujan harga langsung melonjak drastis setiap merefresh, ada pilihan hemat namun harga lebih mahal daripada yg biasa dan percuma tidak akan ada driver yg ambil orderannya,sudah memilih dari yg murah sampai paling mahal namun tetap saja nihil🥴, dulu enak sekarang makin buruk",1
"sebagai pengguna lama baru kali ini saya kecewa sama aplikasi GO-JEK terutama gocar... sebelumnya saya tidak pernah ada masalah walau kadang tidak sesuai harapan dan tetap saya kasih bintang lima dan tip. tp ini sudah pakai prioritas, tetap dicancel driver dgn alasan jauh (pdhl di maps deket), harga ga sesuai (kan bukan saya yg kasih harga jg), driver yg beneran jauh posisinya (pdhl prioritas harusnya yg paling dekat)... akhirnya adu lama2an cancel order... makan waktu... makan ati... hiks...",1
