kata	skor
bad UX	-1
tidak adaptif	-3
keliru	-3
gaduh	-3
keraguan	-5
gagal login	-1
tidak optimis	-5
tidak ada update	-5
tidak bermanfaat	-3
layanan buruk	-4
kualitas rendah	-3
tanpa arahan	-1
terdistraksi	-2
tragis	-3
tidak terlindungi	-3
gagal sinkron	-5
tidak intuitif	-2
berbelit-belit	-5
hancur	-1
terekspos	-4
tidak percaya	-3
ketinggalan	-1
ricuh	-4
belum sempurna	-4
busuk	-1
tidak bisa diunggah	-3
seram	-5
restart sendiri	-4
tidak bisa ditutup	-2
warna pudar	-3
tragedi	-4
menyesal	-3
rentan virus	-1
keluar sendiri	-4
penipu	-3
tidak ramah	-5
gagal total	-2
pengembang cuek	-1
berisik	-2
sulit dipakai	-2
mengerikan	-3
berubah-ubah	-3
versi lama	-2
blur	-5
masalah berlarut	-4
bising	-4
keputusasaan	-5
ambigu	-4
mengancam	-2
tidak jujur	-1
pesimis	-5
krisis	-3
tidak peduli	-3
force close	-4
selesai	-3
membingungkan	-2
rapuh	-4
tidak sah	-5
akses ditolak	-2
ringkih	-1
menyebalkan	-1
kerugian	-1
tidak konsentrasi	-5
tidak nyambung	-1
tidak ada dukungan	-4
regret	-4
respon lambat	-2
tidak responsif layar	-4
menguras	-4
inferior	-5
menakutkan	-1
ketidakpastian	-4
bocor	-2
merepotkan	-5
mengganggu	-3
salah	-1
kiamat	-5
berpotensi bahaya	-4
jelek sekali	-3
bangkrut	-4
acak-acakan	-3
tidak sesuai	-4
ilegal	-2
basi	-5
kehancuran	-4
tidak otomatis	-5
tidak ada perbaikan	-4
menjijikkan	-1
prasangka	-1
menjengkelkan	-2
pilihan terbatas	-2
kedaluwarsa	-4
masih beta	-3
kacau	-1
menyepelekan	-5
tidak didengar	-2
tidak ada respon	-1
melanggar hukum	-1
tidak bisa dihapus	-2
neraka	-5
bikin pusing	-4
lemot	-1
kurang jelas	-4
terpuruk	-5
gulung tikar	-5
cacat	-5
tidak up to date	-5
tidak ditemukan	-3
sembunyi-sembunyi	-2
tidak ada bantuan	-1
membuang daya	-1
kosong	-3
terenkripsi	-4
hilang data	-4
kurang estetis	-2
tidak terbaca	-1
sering logout	-5
berantakan	-5
tidak recommended	-1
terburuk	-1
samar	-2
memecah perhatian	-2
illegal	-1
berani	-4
membebani	-3
tidak peka	-5
kabur	-4
menyimpang	-3
sangat jelek	-3
tidak support	-3
kuno	-1
bobrok	-1
buruk rupa	-1
hang	-2
tidak sistematis	-3
menyesatkan	-4
mengabaikan	-4
fitur berbayar tersembunyi	-1
data bocor	-2
menyusahkan	-2
membuang waktu	-3
nge-freeze	-1
tidak pantas	-4
rumit	-2
gambar pecah	-5
hampa	-1
mencurigakan	-5
malapetaka	-4
tidak kompatibel	-1
tidak maksimal	-1
pemborosan	-1
tidak patut	-1
boros baterai	-2
salah otorisasi	-5
menipu	-1
tanpa solusi	-5
tidak jelas	-1
terbelakang	-2
sering down	-1
licik	-5
bikin kesel	-3
file rusak	-3
buang-buang uang	-2
gagal	-1
merugikan	-2
tidak bisa save	-1
kecelakaan	-5
trouble	-5
warna tabrakan	-1
kusam	-3
tidak aman	-5
tidak berguna	-2
laggy	-2
menguras baterai	-5
tidak responsif	-1
tidak presisi	-5
berakhir	-1
curiga	-2
tertinggal	-3
penipuan	-3
menguras kuota	-5
tidak transparan	-3
tidak diindahkan	-2
horor	-5
tidak tertata	-1
tidak user-friendly	-4
musibah	-5
tidak bisa buka	-3
bahaya	-5
tidak ada masa depan	-5
kehampaan	-1
mundur	-4
bikin bingung	-1
terputus	-1
tidak direspon	-2
tidak ada suara	-3
tidak berfungsi	-5
melanggar	-4
penanganan buruk	-5
tidak sepadan	-2
kalah	-3
data hilang	-4
mental	-4
mati total	-3
sia-sia	-2
bencana	-3
redup	-5
terhambat	-5
rentan	-2
kompleks	-1
tidak bermoral	-2
